名称,大类,中类,经度,纬度,省份,地级市,lon,lat,name,区县,type,operator,ports,place_type
星星充电汽车公共充电站,汽车相关,充电站,108.582927,34.110251,陕西省,西安市,108.582927,34.110251,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,8,其他
星星充电汽车公共充电站,汽车相关,充电站,108.579433,34.107359,陕西省,西安市,108.579433,34.107359,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,7,其他
星星充电汽车公共充电站,汽车相关,充电站,108.559653,34.142779,陕西省,西安市,108.559653,34.142779,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,8,其他
星星充电汽车公共充电站,汽车相关,充电站,108.470004,34.069192,陕西省,西安市,108.470004,34.069192,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车公共充电站,汽车相关,充电站,108.499099,34.066271,陕西省,西安市,108.499099,34.066271,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,2,其他
星星充电汽车公共充电站,汽车相关,充电站,108.492287,34.100643,陕西省,西安市,108.492287,34.100643,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,7,其他
星星充电汽车公共充电站,汽车相关,充电站,108.491868,34.103418,陕西省,西安市,108.491868,34.103418,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,6,其他
星星充电汽车公共充电站,汽车相关,充电站,108.497684,34.105582000000005,陕西省,西安市,108.497684,34.105582000000005,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,6,其他
星星充电汽车公共充电站,汽车相关,充电站,108.493802,34.101746,陕西省,西安市,108.493802,34.101746,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,3,其他
星星充电汽车公共充电站,汽车相关,充电站,108.479378,34.081168,陕西省,西安市,108.479378,34.081168,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,8,其他
星星充电汽车公共充电站,汽车相关,充电站,108.478466,34.077853,陕西省,西安市,108.478466,34.077853,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,6,其他
星星充电汽车公共充电站,汽车相关,充电站,108.520741,34.106622,陕西省,西安市,108.520741,34.106622,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,3,其他
星星充电汽车公共充电站,汽车相关,充电站,108.54907,34.147345,陕西省,西安市,108.54907,34.147345,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,2,其他
星星充电汽车公共充电站,汽车相关,充电站,108.521162,34.158063000000006,陕西省,西安市,108.521162,34.158063000000006,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车公共充电站,汽车相关,充电站,108.526864,34.163272,陕西省,西安市,108.526864,34.163272,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车公共充电站,汽车相关,充电站,108.49779,34.106651,陕西省,西安市,108.49779,34.106651,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车公共充电站,汽车相关,充电站,108.496106,34.122087,陕西省,西安市,108.496106,34.122087,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,6,其他
星星充电汽车公共充电站,汽车相关,充电站,108.483918,34.148514000000006,陕西省,西安市,108.483918,34.148514000000006,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,2,其他
星星充电汽车公共充电站,汽车相关,充电站,108.483893,34.148533,陕西省,西安市,108.483893,34.148533,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,6,其他
星星充电汽车公共充电站,汽车相关,充电站,108.483879,34.148502,陕西省,西安市,108.483879,34.148502,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,8,其他
星星充电汽车公共充电站,汽车相关,充电站,108.483942,34.148513,陕西省,西安市,108.483942,34.148513,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,6,其他
星星充电汽车公共充电站,汽车相关,充电站,108.493388,34.139961,陕西省,西安市,108.493388,34.139961,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,2,其他
星星充电汽车公共充电站,汽车相关,充电站,108.483931,34.148486000000005,陕西省,西安市,108.483931,34.148486000000005,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,2,其他
特来电充电站,汽车相关,充电站,108.995485,34.028031,陕西省,西安市,108.995485,34.028031,特来电充电站,西安市,汽车相关 充电站,特来电,8,其他
南五台服务站国家电网电动汽车充电站,汽车相关,充电站,108.994085,34.025826,陕西省,西安市,108.994085,34.025826,南五台服务站国家电网电动汽车充电站,西安市,汽车相关 充电站,国家电网,2,其他
特来电充电站,汽车相关,充电站,108.995312,34.025764,陕西省,西安市,108.995312,34.025764,特来电充电站,西安市,汽车相关 充电站,特来电,2,其他
南五台服务站国家电网电动汽车充电站,汽车相关,充电站,108.997696,34.028628999999995,陕西省,西安市,108.997696,34.028628999999995,南五台服务站国家电网电动汽车充电站,西安市,汽车相关 充电站,国家电网,5,其他
晨晨快充汽车公共充电站,汽车相关,其他,109.012093,34.072468,陕西省,西安市,109.012093,34.072468,晨晨快充汽车公共充电站,西安市,汽车相关 其他,其他,8,其他
晨晨快充,汽车相关,其他,109.015186,34.075872,陕西省,西安市,109.015186,34.075872,晨晨快充,西安市,汽车相关 其他,其他,4,其他
